"","question","answers"
"33","[... wie viel Zeit ich oder andere Lehrpersonen heute mit dem Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"34","[... wie viel Zeit ich oder andere Lehrpersonen in der letzten Woche und in den letzten 30 Tage im Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"35","[... wie viel Zeit ich oder andere Lehrpersonen seit Beginn des Semesters im Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"36","[... wie lange ich oder andere Lehrpersonen eine bestimmte Seite nicht mehr besucht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"37","[... welche Elemente und Funktionen der Online-Kursumgebung ich oder andere Lehrpersonen verwenden.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"38","[... wissen, wie viel Zeit ich mit der Korrektur ihrer Aufgabenlösung verbracht habe.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"39","[... wissen, wie viel Zeit ich mit dem Verfassen von Feedback zu ihrer Aufgabenlösung verbracht habe.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"40","[... wissen, ob ich für die Korrektur ihrer Aufgaben mehr oder weniger Zeit aufgewendet habe als für die Korrektur der Einreichungen ihrer Kommilitonen. ] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"41","[... benachrichtigt werden, wenn ich ihre Übungsaufgaben korrigiert habe.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"42","[... eine Vorhersage erhalten, wann sie mein Feedback zu ihren eingereichten Lösungen erwarten können.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"43","[... in einer Übersicht sehen, ob ich oder andere Lehrkräfte sich an der Diskussionen im Forum beteiligt haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"44","[... in einer Übersicht sehen, welche Forumsbeiträge ich oder andere Lehrkräfte gelesen haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"45","[... in einer Übersicht sehen, auf welche Forumsbeiträge ich oder andere Lehrpersonen geantwortet haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"46","[... in einer Übersicht sehen, ob ich oder andere Lehrpersonen im Online-Kurs einen neuen Forumsbeitrag erstellt haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"47","[... erfahren, wie lange es durchschnittlich dauert, bis ich oder andere Lehrpersonen auf einen Forenbeitrag antworte(n).] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"48","[... eine Vorhersage erhalten, wann sie eine Antwort von mir oder anderen Lehrpersonen auf ihre Forumsbeiträge erwarten können.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"49","[... wissen, welche neuen Kursmaterialien wann hinzugefügt wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"50","[... wissen, welche Kursmaterialen wann aktualisiert wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"51","[... wissen, welche Kursmaterialien wann entfernt wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"52","[... wissen, wie hoch die Wahrscheinlichkeit ist, dass Kursmaterial von mir oder einer anderen Lehrperson geändert wird.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"53","[... eine Versionshistorie der Änderungen am Kursmaterial einsehen können.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"54","[... wissen, wie viele der eingereichten Lösungen zu einer Übungsaufgabe durch mich oder andere Lehrpersonen bereits korrigiert wurden.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"55","[... wissen, ob ihre Übungsaufgaben bereits von mir oder anderen Lehrpersonen korrigiert wurden.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"56","[... wissen, wie viel Zeit ich und andere Lehrpersonen durchschnittlich für die Korrektur einer Übungsaufgabe benötigen.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"57","[... wissen, ob und wie die Dauer der die Korrektur von eingereichten Aufgabenlösungen über das Semester hinweg schwankt.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"58","[... eine Vorhersage erhalten, wann sie die Korrektur ihrer eingereichten Lösungen der Übungsaufgaben erwarten können.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"59","[... wissen, ob ich oder andere Lehrpersonen eine von ihnen definierte Frist für die Korrektur der Übungsaufgaben überschritten habe.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"60","[... welche Daten ich als Lehrperson von ihnen betrachten kann.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"61","[... ob ich oder andere Lehrpersonen in letzter Zeit ihre individuellen Daten zu Lernleistungen und Lernfortschritt eingesehen haben.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"62","[... wann, welche der Daten über Lernleistungen und Lernfortschritte von mir oder anderen Lehrpersonen eingesehen wurden.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"63","[... ob ich/andere Lehrpersonen in letzter Zeit die zusammengefassten Daten zum Lernfortschritt und den Lernleistungen ihrer Lerngruppe eingesehen habe(n).] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"64","[... ob ich/andere Lehrpersonen in letzter Zeit die zusammengefassten Daten zum Lernfortschritt und den Lernleistungen der im Online-Kurs aktiven Studierenden eingesehen habe(n).] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"65","[... wie wahrscheinlich es ist, dass ich oder andere Lehrpersonen die individuellen Lernfortschritte und Lernergebnisse anhand der in einer Übersicht bereitgestellten Informationen überprüfe(n).] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"66","[... ob ich oder andere Lehrpersonen ihre individuellen Leistungen und Fortschritte im Vergleich häufiger oder weniger häufig eingesehen habe, als die anderer Studierender.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...   ","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"67","[... welche Daten Software-Agenten von ihnen nutzen können.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"68","[... wann, wie oft und mit welchem Zweck Daten von ihnen durch Software-Agenten genutzt wurden.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"69","[... wann und wie Software-Agenten ihre Daten genutzt haben, um das Lernangebot für sie anzupassen.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"70","[... wann und wie Software-Agenten ihre Daten genutzt haben, um das Lernangebot für andere Studierende anzupassen.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"71","[... ob Software-Agenten eigenständig Entscheidungen getroffen haben, die sich auf sie auswirken.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"72","[... ob die durch einen Software-Agenten ausgearbeiteten Entscheidungen durch eine Lehrperson wie mich bestätigt oder abgelehnt wurden.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einer Online-Lernumgebung automatisch zusammenfassen, analysieren und für Studierende erfahrbare Interventionen daraus ableiten und umsetzen.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"73","Haben Sie Fragen oder gibt es etwas, was Sie uns noch mitteilen möchten?","NA"
"74","Welchem Geschlecht ordnen Sie sich zu?","c(""männlich"", ""weiblich"", ""divers)"")"
"75","Wie alt sind Sie?","c(""< 20 Jahre"", ""20 - 29 Jahre"", ""30 - 39 Jahre"", ""40 - 49 Jahre"", ""50 - 59 Jahre"", ""> 60 Jahre)"")"
"76","Wie lange lehren Sie bereits?","c(""< 1 Jahr"", ""1 -2 Jahre"", ""3 - 5 Jahre"", ""6 - 10 Jahre"", ""11 - 20 Jahre"", ""> 20 Jahre)"")"
"77","Wie viele Jahre Erfahrung haben Sie in der Online-Lehre?","c(""< 1 Jahr"", ""1 -2 Jahre"", ""3 - 5 Jahre"", ""6 - 10 Jahre"", ""11 - 20 Jahre"", ""> 20 Jahre)"")"
"78","In welchem Fachbereich lehren Sie hauptsächlich?","c(""Agrar- und Forstwissenschaften"", ""Gesellschafts- und Sozialwissenschaften"", ""Ingenieurwissenschaften"", ""Kunst"", ""Musik"", ""Design"", ""Lehramt"", ""Mathematik"", ""Naturwissenschaften (inkl. Informatik)"", ""Medizin"", ""Gesundheitswissenschaften"", ""Sprach- und Kulturwissenschaften"", ""Wirtschafts- und Rechtswissenschaften"", ""Öffentliche Verwaltung)"")"
