"","question","answers"
"37","[... know how much time teachers have spent in the online course today.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"38","[... know how much time teachers have spent in the online course over the past week and the last 30 days.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"39","[... know how much time teachers have spent in the online course since the beginning of the semester.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"40","[... know how long teachers have not visited a particular page.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"41","[... know which elements of the learning and online course environment teachers use.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"42","[... know how much time the teacher spent correcting my assignment solution.] Corrections and feedback. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"43","[... know how much time the teacher spent writing feedback on my assignment solution.] Corrections and feedback. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"44","[... know if the teacher spent more or less time correcting my assignment than correcting other students' submissions.] Corrections and feedback. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"45","[... be notified when the teacher has corrected my assignments.] Corrections and feedback. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"46","[... receive a prediction of when I can expect feedback on my submitted solutions.] Corrections and feedback. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"47","[... see in an overview if teachers have participated in forum discussions.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"48","[... see in an overview which forum posts teachers have read.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"49","[... see in an overview which forum posts teachers have responded to.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"50","[... see in an overview if teachers have posted a new forum entry in the online course.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"51","[... know how long it typically takes for teachers to respond to a forum post.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"52","[... receive a prediction of when I can expect a response from teachers to my forum posts.] Engagement in discussion forums. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"53","[... know which new course materials were added and when.] Changes in course materials. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"54","[... know which course materials were updated and when.] Changes in course materials. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"55","[... know which course materials were removed and when.] Changes in course materials. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"56","[... know the likelihood that course materials will be changed by a teacher.] Changes in course materials. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"57","[... view a version history of changes to the course materials.] Changes in course materials. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"58","[... know how many submitted solutions for an exercise task have already been corrected by teachers.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"59","[... know whether my exercise tasks have already been corrected by a teacher.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"60","[... know how much time teachers typically need to correct an exercise task.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"61","[... know if and how the duration of correcting submitted solutions fluctuates throughout the semester.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"62","[... receive a prediction of when I can expect the correction of my submitted solutions for the exercise tasks.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"63","[... know if teachers have exceeded a deadline I set for the correction of exercise tasks.] Correction of exercise tasks. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"64","[... which data teachers can view about me.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"65","[... whether teachers have recently viewed my individual performance and progress data.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"66","[... when and which of my data on performance and progress have been viewed by teachers.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"67","[... whether teachers have recently viewed the aggregated data on the progress and performance of my study group.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"68","[... whether teachers have recently viewed the aggregated data on the progress and performance of students active in the online course.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"69","[... the likelihood that teachers will review my individual progress and performance based on the information provided in an overview.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"70","[... whether teachers have viewed my individual performance and progress more or less frequently than those of other students.] Data usage by participating teachers. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"71","[... which data software agents can use about me.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"72","[... when, how often, and for what purpose data about me has been used by software agents.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"73","[... when and how software agents have used my data to customize learning offerings for me.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"74","[... when and how software agents have used my data to customize learning offerings for other students.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"75","[... whether software agents have independently made decisions that affect me.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"76","[... whether the decisions made by a software agent that affect me have been approved or rejected by a teacher.] Data usage by software agents. Software agents are programs that automatically aggregate, analyze, and derive visible interventions for students from data in an online learning environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like to know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
