"","question","answers"
"35","[... wissen, woran die Lehrpersonen gerade im Online-Kurs arbeiten.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"36","[... wissen, wann die Lehrpersonen zuletzt auf den Online-Kurs zugegriffen haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"37","[... wissen, wie viel Zeit die Lehrpersonen heute mit dem Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"38","[... wissen, wie viel Zeit die Lehrpersonen in der letzten Woche und in den letzten 30 Tage im Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"39","[... wissen, wie viel Zeit die Lehrpersonen seit Beginn des Semesters im Online-Kurs verbracht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"40","[... wissen, wie lange die Lehrpersonen eine bestimmte Seite nicht mehr besucht haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"41","[... wissen, welche Objekte der Lern- und Online-Kursumgebung die Lehrpersonen verwenden.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"42","[... wissen, wie viel Zeit die Lehrperson mit der Korrektur meiner Aufgabenlösung verbracht hat.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"43","[... wissen, wie viel Zeit die Lehrperson mit dem Verfassen von Feedback zu meiner Aufgabenlösung verbracht hat.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"44","[... wissen, ob die Lehrperson für die Korrektur meiner Aufgaben mehr oder weniger Zeit aufgewendet hat als für die Korrektur der übrigen Einreichungen meiner Kommilitonen.  ] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"45","[... benachrichtigt werden, wenn die Lehrperson meine Übungsaufgaben korrigiert hat.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"46","[... eine Vorhersage erhalten, wann ich ein Feedback zu meinen eingereichten Lösungen erwarten kann.] Korrekturen und Feedback  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"47","[... in einer Übersicht sehen, ob sich Lehrkräfte an der Diskussionen im Forum beteiligt haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"48","[... in einer Übersicht sehen, welche Forumsbeiträge die Lehrkräfte gelesen haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"49","[... in einer Übersicht sehen, auf welche Forumsbeiträge die Lehrpersonen geantwortet haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"50","[... in einer Übersicht sehen, ob die Lehrpersonen im Online-Kurs einen neuen Forumsbeitrag erstellt haben.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"51","[... erfahren, wie lange es durchschnittlich dauert, bis die Lehrpersonen auf einen Forenbeitrag antworten.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"52","[... eine Vorhersage erhalten, wann ich eine Antwort der Lehrpersonen auf meine Forumsbeiträge erwarten kann.] Engagement in Diskussionsforen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"53","[... wissen, welche neuen Kursmaterialien wann hinzugefügt wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"54","[... wissen, welche Kursmaterialen wann aktualisiert wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"55","[... wissen, welche Kursmaterialien wann entfernt wurden.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"56","[... wissen, wie hoch die Wahrscheinlichkeit ist, dass Kursmaterial von einer Lehrperson geändert wird.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"57","[... eine Versionshistorie der Änderungen am Kursmaterial einsehen können.] Änderungen des Kursmaterials  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"58","[... wissen, wie viele der eingereichten Lösungen zu einer Übungsaufgabe durch die Lehrpersonen bereits korrigiert wurden.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"59","[... wissen, ob meine Übungsaufgaben von einer Lehrperson bereits korrigiert wurden.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"60","[... wissen, wie viel Zeit die Lehrpersonen durchschnittlich für die Korrektur einer Übungsaufgabe benötigen.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"61","[... wissen, ob und wie die Dauer der Korrektur von eingereichten Aufgabenlösungen über das Semester hinweg schwankt.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"62","[... eine Vorhersage erhalten, wann ich die Korrektur meiner eingereichten Lösungen der Übungsaufgaben erwarten kann.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"63","[... wissen, ob die Lehrpersonen eine von mir definierte Frist für die Korrektur der Übungsaufgaben überschritten haben.] Korrektur von Übungsaufgaben  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"64","[... welche Daten die Lehrpersonen von mir betrachten können.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"65","[... ob die Lehrpersonen in letzter Zeit meine individuellen Daten zu Lernleistungen und Lernfortschritt eingesehen haben.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"66","[... wann welche meiner Daten über Lernleistungen und Lernfortschritte von Lehrpersonen eingesehen wurden.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"67","[... ob Lehrpersonen in letzter Zeit die zusammengefassten Daten zum Lernfortschritt und den Lernleistungen meiner Lerngruppe eingesehen haben.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"68","[... ob Lehrpersonen in letzter Zeit die zusammengefassten Daten zum Lernfortschritt und den Lernleistungen der im Online-Kurs aktiven Studierenden eingesehen haben.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"69","[... wie wahrscheinlich es ist, dass die Lehrpersonen meine individuellen Lernfortschritte und Lernergebnisse anhand der in einer Übersicht bereitgestellten Informationen überprüft.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"70","[... ob die Lehrpersonen meine Leistungen und Fortschritte im Vergleich zum Durchschnitt öfter oder seltener eingesehen hat.] Datennutzung durch die beteiligten Lehrpersonen  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"71","[... welche Daten Software-Agenten von mir nutzen können.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"72","[ ... wann, wie oft und mit welchem Zweck Daten von mir durch Software-Agenten genutzt wurden] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"73","[... wann und wie Software-Agenten meine Daten genutzt haben, um das Lernangebot für mich anzupassen.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"74","[... wann und wie Software-Agenten meine Daten genutzt haben, um das Lernangebot für andere Studierende anzupassen.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"75","[... ob Software-Agenten eigenständig Entscheidungen getroffen haben, die sich auf mich auswirken.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"76","[... ob die durch einen Software-Agenten ausgearbeiteten Entscheidungen durch eine Lehrperson bestätigt oder abgelehnt wurden.] Datennutzung durch Software-Agenten  Software-Agenten sind Programme, die Daten von Ihnen und anderen Nutzenden in einem Lernmanagementsystem automatisch zusammenfassen, analysieren und für Sie oder andere sichtbare Interventionen daraus ableiten.  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
